
Project:     20250213_0730_ie
Program:     Inertial Explorer Version 8.90.4416
Profile:     IPNL_URBANNAV_with_std_revise
Source:      GNSS/INS Epochs(Smoothed TC Combined)
SolFile:      C:\Users\IPNL_Experiment\Desktop\20250213\20250213_0730_ie.cts
ProcessInfo: 20250213_0730_ie by Unknown on 2/19/2025 at 12:23:15

Datum:       WGS84
Master 1:    Name HKSC, Status ENABLED
             Antenna height 0.008 m, to ARP [LEIAR25.R4(LEIT)]
             Lat, Lon, El Hgt 22 19 19.81949, 114 08 28.27666, 20.239 m [WGS84, N/A]
Remote:      Antenna height 0.000 m, to L1PC [NOV703GGG.R2(NONE)]
IMU to GNSS Antenna Lever Arms:
             x=-0.073, y=-0.032, z=1.071 m (x-right, y-fwd, z-up)
Body to IMU Rotations:
             xRot=0.000, yRot=0.000, zRot=90.000 degrees
UTC Offset:  18 s
SD Scaling Settings:
  Position: 1.0000
  Velocity: 1.0000
  Attitude: 1.0000

       UTCTime       Week    GPSTime       Latitude      Longitude        H-Ell       X-ECEF       Y-ECEF       Z-ECEF   VX-ECEF   VY-ECEF   VZ-ECEF     VEast    VNorth       VUp VelBdyX VelBdyY VelBdyZ AccBdyX AccBdyY AccBdyZ           Roll          Pitch        Heading Q     SDX-ECEF     SDY-ECEF     SDZ-ECEF       SDEast      SDNorth     SDHeight         HdngSD     SD-VN     SD-VE     SD-VH         RollSD        PitchSD        AzStDev
         (sec)    (weeks)      (sec)          (deg)          (deg)          (m)          (m)          (m)          (m)     (m/s)     (m/s)     (m/s)     (m/s)     (m/s)     (m/s)   (m/s)   (m/s)   (m/s) (m/s^2) (m/s^2) (m/s^2)          (deg)          (deg)          (deg)            (m)          (m)          (m)          (m)          (m)          (m)          (deg)     (m/s)     (m/s)     (m/s)          (deg)          (deg)          (deg)
1739447642.000 2353.00000 388460.000  22.2930576615 114.1742057813        3.194 -2417865.435  5386478.874  2404470.871     0.014    -0.003     0.004    -0.012     0.007    -0.007  -0.013   0.006  -0.005  -0.073  -0.336   0.310  -5.6836725728   0.7031395358   0.9451798267 1        0.004        0.006        0.004        0.003        0.004        0.006   0.0208585542     0.002     0.001     0.001   0.0035303219   0.0037723763   0.0000000000
1739447643.000 2353.00000 388461.000  22.2930577053 114.1742057654        3.188 -2417865.430  5386478.868  2404470.873     0.032    -0.019     0.007    -0.021     0.018    -0.025  -0.025   0.016  -0.023  -0.006   0.003   0.003  -6.7200157143   1.4555763602   2.9859237127 1        0.004        0.006        0.004        0.003        0.004        0.006   0.0208945796     0.002     0.001     0.001   0.0035423860   0.0037874724   0.0000000000
1739447644.000 2353.00000 388462.000  22.2930577604 114.1742055956        3.187 -2417865.413  5386478.872  2404470.879     0.011     0.004    -0.009    -0.012    -0.008    -0.004  -0.012  -0.009  -0.002   0.016  -0.043   0.016  -8.6562979350   0.6548793007   4.4721418558 1        0.004        0.006        0.004        0.003        0.004        0.006   0.0209274981     0.002     0.001     0.001   0.0035532292   0.0038023167   0.0000000000
1739447645.000 2353.00000 388463.000  22.2930578643 114.1742055740        3.181 -2417865.407  5386478.863  2404470.887    -0.002    -0.004    -0.000     0.003     0.001    -0.003   0.003   0.001  -0.004   0.014  -0.023   0.064  -9.9534973015   1.3453163621   5.8681191462 1        0.004        0.006        0.004        0.003        0.004        0.006   0.0209572595     0.002     0.001     0.001   0.0035648372   0.0038180375   0.0000000000
1739447646.000 2353.00000 388464.000  22.2930578847 114.1742056251        3.185 -2417865.413  5386478.864  2404470.891    -0.004    -0.013    -0.017     0.009    -0.012    -0.016   0.008  -0.011  -0.017   0.104   0.003  -0.027  -9.4019566688   1.0260757378   4.7863175332 1        0.004        0.006        0.004        0.003        0.004        0.006   0.0209839158     0.002     0.002     0.001   0.0035779537   0.0038340844   0.0000000000
1739447647.000 2353.00000 388465.000  22.2930578724 114.1742057675        3.188 -2417865.428  5386478.861  2404470.891    -0.020    -0.012    -0.006     0.023    -0.004    -0.004   0.023  -0.003  -0.008  -0.078   0.108  -0.149  -8.3715149925   1.1401974715   3.3201758312 2        0.004        0.006        0.004        0.003        0.004        0.006   0.0210075621     0.002     0.002     0.001   0.0035926907   0.0038489262   0.0000000000
1739447648.000 2353.00000 388466.000  22.2930578465 114.1742056718        3.191 -2417865.420  5386478.868  2404470.889     0.009     0.010     0.002    -0.012    -0.000     0.006  -0.011  -0.001   0.008   0.037   0.067  -0.131  -7.8040117556   0.9549888642   4.5952418381 1        0.004        0.006        0.004        0.003        0.004        0.006   0.0210282877     0.002     0.001     0.001   0.0036075250   0.0038596897   0.0000000000
1739447649.000 2353.00000 388467.000  22.2930578635 114.1742056489        3.192 -2417865.418  5386478.870  2404470.891    -0.010    -0.004    -0.013     0.011    -0.012    -0.004   0.011  -0.012  -0.005  -0.150   0.087   0.054  -7.5905964361   1.0419237504   4.1700383992 1        0.004        0.006        0.004        0.003        0.004        0.006   0.0210462362     0.002     0.001     0.001   0.0036210457   0.0038643642   0.0000000000
1739447650.000 2353.00000 388468.000  22.2930578528 114.1742056331        3.193 -2417865.417  5386478.872  2404470.890     0.009    -0.000     0.005    -0.009     0.006    -0.002  -0.009   0.005  -0.001  -0.012   0.075  -0.108  -7.8306313748   0.2868169427   3.7548559921 1        0.004        0.006        0.004        0.003        0.004        0.006   0.0210617278     0.002     0.002     0.001   0.0036642740   0.0039036328   0.0000000000
