
Project:     xiaotao
Program:     Inertial Explorer Version 8.90.2428
Profile:     IPNL_URBANNAV_with_std
Source:      GNSS/INS Epochs(Smoothed TC Combined)
SolFile:      C:\Users\IPNL_Experiment\Desktop\20250603\IE\xiaotao.cts
ProcessInfo: xiaotao by Unknown on 6/3/2025 at 21:29:09

Datum:       WGS84
Master 1:    Name HKSC, Status ENABLED
             Antenna height 0.008 m, to ARP [LEIAR25.R4(LEIT)]
             Lat, Lon, El Hgt 22 19 19.81949, 114 08 28.27666, 20.239 m [WGS84, N/A]
Remote:      Antenna height 0.000 m, to L1PC [Generic(NONE)]
IMU to GNSS Antenna Lever Arms:
             x=0.340, y=-0.500, z=0.100 m (x-right, y-fwd, z-up)
Body to IMU Rotations:
             xRot=0.000, yRot=180.000, zRot=-90.000 degrees
UTC Offset:  18 s
SD Scaling Settings:
  Position: 1.0000
  Velocity: 1.0000
  Attitude: 1.0000

      UTCTime       Week   GPSTime       Latitude      Longitude        H-Ell       X-ECEF       Y-ECEF       Z-ECEF   VX-ECEF   VY-ECEF   VZ-ECEF     VEast    VNorth       VUp VelBdyX VelBdyY VelBdyZ AccBdyX AccBdyY AccBdyZ           Roll          Pitch        Heading Q     SDX-ECEF     SDY-ECEF     SDZ-ECEF       SDEast      SDNorth     SDHeight         HdngSD     SD-VN     SD-VE     SD-VH         RollSD        PitchSD        AzStDev
        (sec)    (weeks)     (sec)          (deg)          (deg)          (m)          (m)          (m)          (m)     (m/s)     (m/s)     (m/s)     (m/s)     (m/s)     (m/s)   (m/s)   (m/s)   (m/s) (m/s^2) (m/s^2) (m/s^2)          (deg)          (deg)          (deg)            (m)          (m)          (m)          (m)          (m)          (m)          (deg)     (m/s)     (m/s)     (m/s)          (deg)          (deg)          (deg)
1748932206.00 2369.00000 196224.00  22.3064098907 114.1765550492       13.548 -2417860.442  5385876.641  2405842.774    12.494     4.077     3.759   -13.067     4.008     0.134  -0.075  13.668  -0.155  -1.762  -1.215   4.744  -0.8681513808   1.2131235396 -72.6446087883 1        0.008        0.010        0.008        0.007        0.007        0.011   0.0141773028     0.002     0.002     0.002   0.0023375158   0.0022655674   0.0000000000
1748932207.00 2369.00000 196225.00  22.3064468681 114.1764256592       13.671 -2417847.689  5385880.787  2405846.609    12.892     4.173     3.877   -13.471     4.146     0.109  -0.074  14.094  -0.162  -1.246   0.034   0.029  -1.0717519333   1.1089770012 -72.6038256525 1        0.008        0.010        0.008        0.007        0.007        0.011   0.0141474325     0.002     0.002     0.002   0.0023339412   0.0022598593   0.0000000000
1748932208.00 2369.00000 196226.00  22.3064847928 114.1762945942       13.786 -2417834.759  5385884.961  2405850.537    12.985     4.137     3.904   -13.540     4.198     0.054  -0.073  14.174  -0.232  -1.806   1.939  -4.227  -1.1194621289   1.1588185998 -72.4970034011 1        0.008        0.010        0.008        0.007        0.007        0.011   0.0141146146     0.002     0.002     0.002   0.0023297258   0.0022540679   0.0000000000
1748932209.00 2369.00000 196227.00  22.3065231834 114.1761615772       13.919 -2417821.645  5385889.214  2405854.521    13.310     4.333     3.970   -13.917     4.242     0.121  -0.119  14.549  -0.146  -0.847   0.693   2.877  -1.0818417200   1.0586827660 -72.5917075951 1        0.008        0.010        0.008        0.007        0.007        0.011   0.0140835661     0.002     0.002     0.002   0.0023250640   0.0022477694   0.0000000000
1748932210.00 2369.00000 196228.00  22.3065623252 114.1760257897       14.040 -2417808.253  5385893.545  2405858.577    13.496     4.367     4.150   -14.101     4.425     0.148  -0.011  14.779  -0.161  -0.651  -3.949  -2.046  -1.0317652087   1.1967827833 -72.5477789210 1        0.008        0.010        0.008        0.007        0.007        0.011   0.0140506998     0.002     0.002     0.002   0.0023189010   0.0022418748   0.0000000000
1748932211.00 2369.00000 196229.00  22.3066022693 114.1758883596       14.180 -2417794.699  5385897.931  2405862.722    13.551     4.380     4.190   -14.157     4.466     0.153  -0.039  14.845  -0.056  -0.065  -0.541   2.747  -1.0451609620   0.8074636911 -72.3457368137 1        0.008        0.010        0.008        0.007        0.007        0.011   0.0140176844     0.002     0.002     0.002   0.0023168358   0.0022357178   0.0000000000
1748932212.00 2369.00000 196230.00  22.3066418161 114.1757529631       14.301 -2417781.337  5385902.230  2405866.820    13.248     4.307     4.024   -13.850     4.291     0.142  -0.090  14.500  -0.092  -0.806   2.730  -4.825  -1.0529990246   0.9316179157 -72.4385559765 1        0.008        0.010        0.008        0.007        0.007        0.011   0.0139836650     0.002     0.002     0.002   0.0023160570   0.0022299371   0.0000000000
1748932213.00 2369.00000 196231.00  22.3066802561 114.1756205930       14.423 -2417768.279  5385906.446  2405870.804    12.953     4.095     3.935   -13.494     4.236     0.042  -0.022  14.142  -0.187  -0.187   1.740  -6.380  -1.0505868723   0.9303344903 -72.4990316717 2        0.008        0.010        0.008        0.007        0.007        0.011   0.0139514646     0.002     0.002     0.002   0.0023152891   0.0022252533   0.0000000000
1748932214.00 2369.00000 196232.00  22.3067182713 114.1754899534       14.539 -2417755.388  5385910.598  2405874.742    12.916     4.130     3.918   -13.475     4.203     0.079  -0.082  14.114  -0.171  -0.629  -0.701  -2.294  -1.1084899871   1.0189653316 -72.3582387527 1        0.008        0.010        0.008        0.007        0.007        0.011   0.0139216222     0.002     0.002     0.002   0.0023174046   0.0022233855   0.0000000000
1748932215.00 2369.00000 196233.00  22.3067563918 114.1753599405       14.662 -2417742.557  5385914.727  2405878.695    12.814     4.145     3.974   -13.387     4.233     0.152  -0.015  14.040  -0.154   1.445   2.179  -3.603  -0.8921239349   1.2484693060 -72.3994974436 1        0.008        0.010        0.008        0.007        0.007        0.011   0.0138876913     0.002     0.002     0.002   0.0023216244   0.0022246463   0.0000000000
1748932216.00 2369.00000 196234.00  22.3067937859 114.1752311376       14.796 -2417729.856  5385918.841  2405882.576    12.638     4.120     3.816   -13.217     4.068     0.137  -0.082  13.829  -0.000  -2.391  -0.707  -0.623  -0.8751873025   0.5754616207 -72.5510619691 2        0.008        0.010        0.008        0.007        0.007        0.011   0.0138556650     0.002     0.002     0.002   0.0023252137   0.0022314764   0.0000000000
1748932217.00 2369.00000 196235.00  22.3068306218 114.1751038656       14.899 -2417717.297  5385922.886  2405886.389    12.559     4.055     3.869   -13.119     4.127     0.133  -0.013  13.753  -0.119   0.923   4.500  -7.359  -0.9800844156   1.0475387368 -72.4892283639 1        0.008        0.010        0.008        0.007        0.007        0.011   0.0138245868     0.002     0.002     0.002   0.0023308557   0.0022450238   0.0000000000
1748932218.00 2369.00000 196236.00  22.3068673314 114.1749771521       15.010 -2417704.796  5385926.919  2405890.192    12.449     4.004     3.744   -12.997     4.013     0.084  -0.063  13.602  -0.167  -0.451   2.935   2.178  -1.1797945847   1.0630888114 -72.5904757358 1        0.008        0.010        0.008        0.007        0.007        0.011   0.0137941139     0.002     0.002     0.002   0.0023348141   0.0022585241   0.0000000000
1748932219.00 2369.00000 196237.00  22.3069031509 114.1748519197       15.137 -2417692.456  5385930.937  2405893.910    12.190     4.034     3.696   -12.773     3.917     0.189  -0.020  13.361  -0.112  -3.532   1.223  -3.468  -0.8330920933   1.2917161604 -72.8718782273 1        0.008        0.010        0.008        0.007        0.007        0.011   0.0137602929     0.002     0.002     0.002   0.0023414560   0.0022741905   0.0000000000
1748932220.00 2369.00000 196238.00  22.3069381438 114.1747293165       15.260 -2417680.375  5385934.872  2405897.542    12.035     3.847     3.632   -12.555     3.899     0.066  -0.044  13.145  -0.174   0.881   2.888 -10.563  -0.8890643403   1.0498477568 -72.5714478075 1        0.008        0.010        0.008        0.007        0.008        0.011   0.0137269832     0.002     0.002     0.002   0.0023468654   0.0022899876   0.0000000000
1748932221.00 2369.00000 196239.00  22.3069740801 114.1746075532       15.311 -2417668.330  5385938.675  2405901.243    11.956     3.745     3.881   -12.441     4.152     0.104   0.063  13.115  -0.152   1.973  -0.547   5.980  -1.0751438434   1.1134747199 -71.8336844321 1        0.008        0.010        0.008        0.007        0.008        0.011   0.0136927906     0.002     0.002     0.002   0.0023538868   0.0023068737   0.0000000000
1748932222.00 2369.00000 196240.00  22.3070123077 114.1744839860       15.361 -2417656.075  5385942.466  2405905.178    12.443     3.664     3.940   -12.852     4.310    -0.126  -0.055  13.554  -0.201  -3.346  -2.241  -8.363  -1.0454359817   0.3206672892 -71.2456406583 1        0.008        0.010        0.008        0.007        0.008        0.011   0.0136571527     0.002     0.002     0.002   0.0023563951   0.0023233767   0.0000000000
1748932223.00 2369.00000 196241.00  22.3070513031 114.1743589066       15.446 -2417643.678  5385946.320  2405909.205    12.617     3.948     4.016   -13.127     4.310     0.076  -0.165  13.816   0.055  -2.815   2.974  -5.751  -1.1553407460   0.0989211633 -71.1365838715 1        0.008        0.010        0.008        0.007        0.008        0.011   0.0136257689     0.002     0.002     0.002   0.0023610976   0.0023359018   0.0000000000
1748932224.00 2369.00000 196242.00  22.3070908841 114.1742339313       15.323 -2417631.202  5385949.972  2405913.214    12.482     3.705     4.050   -12.904     4.404    -0.065  -0.069  13.635  -0.077  -0.343  -4.052   4.774  -1.1801269002   0.0575650697 -70.8729659900 1        0.008        0.010        0.008        0.007        0.008        0.011   0.0135937175     0.002     0.002     0.002   0.0023679275   0.0023463538   0.0000000000
1748932225.00 2369.00000 196243.00  22.3071314673 114.1741074334       15.227 -2417618.576  5385953.672  2405917.335    12.777     3.743     4.244   -13.190     4.616    -0.071   0.002  13.974  -0.141  -0.188   2.433   1.477  -1.0375635416   0.2886962442 -70.7295603835 2        0.008        0.010        0.008        0.007        0.008        0.011   0.0135561991     0.002     0.002     0.002   0.0023791594   0.0023569216   0.0000000000
1748932226.00 2369.00000 196244.00  22.3071732339 114.1739781146       15.123 -2417605.662  5385957.440  2405921.574    12.944     3.760     4.271   -13.349     4.662    -0.109  -0.016  14.139  -0.137   1.144  -1.235  -3.301  -0.7250036052   0.1107584714 -70.6913899352 2        0.008        0.010        0.009        0.007        0.008        0.011   0.0135246301     0.002     0.002     0.002   0.0023907318   0.0023742025   0.0000000000
1748932227.00 2369.00000 196245.00  22.3072159109 114.1738481353       15.073 -2417592.690  5385961.245  2405925.927    13.028     3.817     4.405   -13.449     4.779    -0.042  -0.035  14.272  -0.069  -1.339   0.660   2.125   0.4206656132   0.1078707641 -70.2942786169 2        0.008        0.010        0.009        0.007        0.008        0.011   0.0134869162     0.002     0.002     0.002   0.0023997545   0.0023875113   0.0000000000
